S.No;Project Title;Student;Organization;Website URL
65;8-bit quantization in DNN Module;Jebastin Nadar;OpenCV;https://opencv.org
66;Equirectangular Projection (ERP) and Cubemap Projection (CMP) conversion;Eugene Lyapustin;Intel Video and Audio for Linux;https://01.org/linuxmedia
67;User Story - Improvements and new features;Sundeep Chand;Python Software Foundation;https://www.python.org/
68;Migrating AngularJS components and Writing Frontend Tests;Radesh Kumar;Oppia Foundation;https://github.com/oppia/oppia
69;pgagroal: Metrics and monitoring;Junduo Dong;PostgreSQL;https://www.postgresql.org
70;Reduce Memory Usage - Radis;Gagan Aryan;openastronomy;http://www.OpenAstronomy.org
71;Boston.gov Solar Roof Potential;Nnamdi;Mayor's Office of New Urban Mechanics (City of Boston);http://www.boston.gov/mechanics
72;Crop Doc;Guillem Felis;Liquid Galaxy project;https://www.liquidgalaxy.eu/
73;Enhancing the admin panel of openPIP;Aniket Ranjan;National Resource for Network Biology (NRNB);https://nrnb.org/gsoc.html
74;Quality Assurance and Continuous Integration for Applications in Life Sciences and Medicine;Shruti Sridhar;Debian;https://www.debian.org
75;End-to-End Deep Learning Regression for Measurements with the CMS Experiment;Anis Ismail;Machine Learning for Science (ML4SCI) Umbrella Organization;http://ml4sci.org
76;Implementing an efficient algorithm for smarter boolean operations on vector shapes;Tanmay Chavan;KDE Community;https://www.kde.org
77;Simulating Representational Communication in Vervet Monkeys;ankiitgupta7;Red Hen Lab;http://redhenlab.org
78;Build an open-source realtime web video effects app;Pinku Deb Nath;MediaPipe;https://mediapipe.dev
79;Dynamic Partitioning for Interval Joins in Asterix Database;Caleb Herbel;The Apache Software Foundation;https://www.apache.org
80;Animating a poor man [PMR-III];Yash Bhambhu;CCExtractor Development;https://ccextractor.org/
81;Native ROS2 support;Arsh Pratap;ArduPilot;https://ardupilot.org
82;erdappy-griddap: Accessing gridded oceanographic data in near real time;Callum Rollo;Integrated Ocean Observing System (IOOS);https://ioos.noaa.gov/
83;AXIOM Remote: Firmware Improvement And Extension;Aman Singh (eppisai);apertus° Association;https://www.apertus.org
84;VLC macOS interface redesign;Sam Bassaly;VideoLAN;https://www.videolan.org/
85;Open Geometry Viewer(OGV);Amanjot Singh;BRL-CAD;https://opencax.github.io
86;(PyAr) PyZombies;Ybrahin Martinez;Python Software Foundation;https://www.python.org/
87;Elastic Compute Cloud-based Amazon Machine Image for XWiki;Sanchita Singh;XWiki;https://www.xwiki.org/
88;Enhance Recent topic view with Multiselect Dropdown List Widget And Implement Reusable Widgets;Aryan Shridhar;Zulip;https://zulip.com
89;Liquid Galaxy Stellarium;Mithil;Liquid Galaxy project;https://www.liquidgalaxy.eu/
90;Multi-threading in perf;Riccardo Mancini;The Linux Foundation;http://www.linuxfoundation.org/
91;A frontend for Niffler DICOM framework for machine learning pipelines and processing workflows;Nishchal Singi;Department of Biomedical Informatics (BMI), Emory University School of Medicine;https://med.emory.edu/departments/biomedical-informatics/
92;Machine Learning Credit Scorecard PHASE 4;Nasser Yemdjih Kaze;The Apache Software Foundation;https://www.apache.org
93;Tensorflow GUI;Viraj Patel;Department of Biomedical Informatics (BMI), Emory University School of Medicine;https://med.emory.edu/departments/biomedical-informatics/
94;Use eBPF to lock/unlock the network;Zeyad Gouda;CRIU;https://criu.org
95;Introduce Support for Displaying Copyright Licenses;Abhay Garg;Oppia Foundation;https://github.com/oppia/oppia
96;TripPy + DeepPavlov;Niklas Muennighoff;DeepPavlov;https://deeppavlov.ai/
97;Adding React library to new UI;Aman Dwivedi;FOSSology;https://www.fossology.org/
98;web-based simulator for scheduler behaviour (Project: Kubernetes);Kensei Nakada;CNCF;http://cncf.io
99;3D Plotting;Jeffrey Paul;openastronomy;http://www.OpenAstronomy.org
100;Matrix State of the Art;Rakshit P;Pharo Consortium;https://pharo.org/
101;An object detection component for LearnBlock;Alejandro Fernández;RoboComp;https://robocomp.org
102;corobo Enhancement Project;nakuldx;coala;https://coala.io
103;Integrate Enzyme into Rust to Provide High-performance Differentiation in Rust;Chuyang Chen;The LLVM Compiler Infrastructure;http://llvm.org
104;Moving Least Squares for point set smoothing and differential properties estimation;aniket agarwalla;CGAL Project;https://www.cgal.org
105;Quality Improvements for Light & Shadow;Alluri Harshit Varma;The Terasology Foundation;https://terasology.org/
106;New Release;James Culver;Pidgin Instant Messenger;https://pidgin.im
107;Vitrivr Reads;Karan Singh;vitrivr;https://vitrivr.org
108;Pocket Code for Android: HMS API Machine Learning and AI support;qlin;International Catrobat Association;https://www.catrobat.org
109;Integrating NumPy into PySyft;Aditi Verma;OpenMined;https://www.openmined.org/
110;Background Estimation with Neural Autoregressive Flows Proposal;Sinan Gençoğlu;Machine Learning for Science (ML4SCI) Umbrella Organization;http://ml4sci.org
111;Work on enhancing Zulip's mobile experience.;Akash Dhiman;Zulip;https://zulip.com
112;Command Palette;Bhuvaneshwar Vemula;Godot Engine;https://godotengine.org
113;Upgrade Java Grammar from ANTLR2 to ANTLR4;Nicholas Mancuso;Checkstyle;https://checkstyle.org
114;Integrating performance improvements from the Elm compiler into elm-format;Emma Bastås;Elm Tooling;https://github.com/elm-tooling?type=source
115;Implement Retest Functionality;Pranav Saxena;OWASP Foundation;https://owasp.org
116;The Multisite project;Yasharth Dubey;The Palisadoes Foundation;http://www.palisadoes.org/
117;OpenCV bindings for Julia;Archit Rungta;OpenCV;https://opencv.org
118;Polygon Based Collision Detection System;Nabeel Danish;The ENIGMA Team;https://enigma-dev.org
119;Git credentials binding for sh, bat, and powershell;Harshit Chopra;Continuous Delivery Foundation;https://cd.foundation/projects/
120;Coding style checker bot for Gerrit;Saloni;Haiku;http://www.haiku-os.org
121;Improve the usability of cert-manager on multiple cloud providers;Arsh Sharma;CNCF;http://cncf.io
122;Implement and improve several accessibility functions in Joomla! Keyboard navigation;KUMAR SHIVAM;Joomla!;https://www.joomla.org/
123;Machine Learning Extension to Ignition Gazebo;Amr Elsersy;Open Robotics;https://www.openrobotics.org/
124;GSOC 2021 Proposal - GUI for listing and managing available IPP services;Divyasheel;The Linux Foundation;http://www.linuxfoundation.org/
125;Implementation of the data analysis compilation interface in a satellite monitoring simulator;R.David Aleman Ramos;AerospaceResearch.net;http://aerospaceresearch.net/
126;Improvise Python Honeypot;Mrigank Anand;OWASP Foundation;https://owasp.org
127;Implementation of the graded ring of quasimodular forms;David Ayotte;SageMath;https://www.sagemath.org/
128;JSON Support for Golang libraries;Ujjwal Agarwal;SPDX;https://spdx.dev/
129;Development of a DIY robot kit for educators;Georgios Giannakoulias;GFOSS - Open Technology Alliance;http://www.gfoss.eu
130;Finish converting submodule to builtin;Atharva Raykar;Git;http://git-scm.com
131;Building a Cronet-based HTTP package in Dart;Soumyadip Mondal;Dart;https://dart.dev/
132;Implement RegNet-Y in TensorFlow 2;Aditya Kane;TensorFlow;https://www.tensorflow.org/
133;PyTorch-Ignite: Development of a Higher-level API;Ahmed-1;NumFOCUS;http://numfocus.org/
134;Shared Storage for Property Wrappers;Isabel Lima;Swift;http://swift.org
135;Typed API for LuaRocks;Deepak Singh Rathore;LabLua;http://www.lua.inf.puc-rio.br
136;Mesh Decimation using Probabilistic Quadrics;Julian Komaromy;CGAL Project;https://www.cgal.org
137;An Electrophysiology Connectivity Package in the MNE Environment;Adam Li;Python Software Foundation;https://www.python.org/
138;SAGA2 engine;a-yyg;ScummVM;https://www.scummvm.org/
139;GSOC - Create cypress tests for wikipedia-preview;Shailesh Kanojiya;Wikimedia Foundation;http://wikimediafoundation.org/
140;"A ""Bite-Sized"" BitArray";Mahanaz Atiqullah;Swift;http://swift.org
141;Visualizing AV1 features using an analyzer;Nasir Hemed;VideoLAN;https://www.videolan.org/
142;Visual Regression Testing of Ceph-Dashboard;Aaryan Porwal;Ceph;https://ceph.io
143;Improve Robustness by fixing Issues / Feature Requests from the backlog;Benura Abeywardena;The Apache Software Foundation;https://www.apache.org
144;Measuring QUIC and TLS censorship with OONI Probe;Kathrin Elmenhorst;Digital Impact Alliance (DIAL) at UN Foundation;https://www.digitalimpactalliance.org/
145;100 Paper Cuts;Bayram Çiçek;LibreOffice;https://www.libreoffice.org/
146;Peer to Peer Message Transfer;Ritik Jain;AOSSIE;https://aossie.gitlab.io/
147;Scan8;Sarthak Singh;SCoRe Lab;http://www.scorelab.org/
148;Fixing fundamental issues in LLVM IR: Introducing a byte type to solve load type punning;George Mitenkov;The LLVM Compiler Infrastructure;http://llvm.org
149;Improve CVE database structure and tracking of multiple reports;Sahil;Python Software Foundation;https://www.python.org/
150;Optimize Kernel::require API for Ruby 3;Xinyu Wang;Ruby;https://www.ruby-lang.org/
151;Implementations of AVX-512 functions;Kunwar Maheep Singh;Open Bioinformatics Foundation;http://open-bio.org
152;PcapMonkey Improvements;Hariom Chaturvedi;The Honeynet Project;https://honeynet.org
153;Irdest Android Client;Ayush Shrivastava;freifunk;https://freifunk.net
154;Applied equality saturation with Metatheory.jl;Alessandro Cheli;The Julia Language;https://julialang.org
155;Support JOOQ API within gora-sql module;infaz;The Apache Software Foundation;https://www.apache.org
156;A Frontend For Loopsim Framework To Model Workflows With Closed Loops;Shubham Awasthi;Department of Biomedical Informatics (BMI), Emory University School of Medicine;https://med.emory.edu/departments/biomedical-informatics/
157;Regression Testing of Geometry Nodes;Himanshi Kalra;Blender Foundation;http://www.blender.org
158;Extended Interoperability of ChemTools and Quantum Chemistry Software;Victor Hugo Cano Gil;Open Chemistry;https://openchemistry.org/
159;Enabling and prototyping JavaScript visualizations in the Qt-based viewer TOPPView (OpenMS).;Dhanmoni Nath;Open Bioinformatics Foundation;http://open-bio.org
160;Adapt schema editors to operate from model states instead of fake rendered models during migrate phase;Manav Agarwal;Django Software Foundation;https://www.djangoproject.com/
161;Liquid Galaxy Image Satellite Visualizer;Octávio H. Müller Barrio;Liquid Galaxy project;https://www.liquidgalaxy.eu/
162;On-Canvas Alignment Guides;Parth Pant;Inkscape;https://inkscape.org
163;Implement TES in Galaxy/Pulsar;Vipul Chhabra;Global Alliance for Genomics and Health;https://ga4gh.org
164;Expand ModelBricks.org and VCell API;Noah Liguori-Bills;National Resource for Network Biology (NRNB);https://nrnb.org/gsoc.html
165;SCoRe Lab Open MF Proposal;Swapnal Shahil;SCoRe Lab;http://www.scorelab.org/
166;Activity Cull;Jenniline Ebai;CiviCRM LLC;https://civicrm.org
167;Utilize second order derivatives from Clad in ROOT;Baidyanath Kundu;CERN-HSF;http://hepsoftwarefoundation.org/activities/gsoc.html
168;Scrapy: Feed Enhancements;D R Siddhartha;Python Software Foundation;https://www.python.org/
169;Cut Mode;Pratyush Tiwari;Pitivi;https://www.pitivi.org/
170;Catrobat iOS Team proposal for Ticket: Support for Catrobat Language version 0.994 - 0.99992;zwerg4;International Catrobat Association;https://www.catrobat.org
171;Uncovering the Enigma of Type-Ia Supernovae: Thermonuclear Supernova Classification via their Nuclear Signatures;Sophia He;Machine Learning for Science (ML4SCI) Umbrella Organization;http://ml4sci.org
172;"""Focus on the music"" - music-oriented editing for everyone";Piotrek Brzeziński;Pitivi;https://www.pitivi.org/
173;VLC iOS UI update;Anubhav Singh-1;VideoLAN;https://www.videolan.org/
174;Implement FALCON: Honest-Majority Maliciously Secure Framework for Private Deep Learning in SyMPC;Rasswanth S;OpenMined;https://www.openmined.org/
175;Multilingual Support in the App;Sumitra Saksham;The Palisadoes Foundation;http://www.palisadoes.org/
176;3D CAD scripting using Smalltalk;Mrinalkanti Roy;Pharo Consortium;https://pharo.org/
177;Revolutionizing the Tasks API;Vivek Agrawal;Learning Equality;http://learningequality.org/
178;A Python toolbox for computing high-order information in neuroimaging;Pranav Mahajan;INCF;http://incf.org
179;JaxModel: A high level API for building purely functional models suitable for Molecular Predictions & Simulations;M. Vignesh Venkataraman;Open Chemistry;https://openchemistry.org/
180;Infinite Scroll;Samarjeet Singh;Navidrome;https://navidrome.org
181;Banking Service with Open Risk and Hydra Ecosystem;Purvansh Singh;Hydra Ecosystem;https://www.hydraecosystem.org/
182;Implementation of Physical Shape Function;Aman  Verma;CERN-HSF;http://hepsoftwarefoundation.org/activities/gsoc.html
183;3Dmol UI Design and Improved Controls;Jaxmatrix;Open Chemistry;https://openchemistry.org/
184;Webiu;Yash;SCoRe Lab;http://www.scorelab.org/
185;TX AArch64 Doubles SIMD Assembly;S.M Mukarram Nainar;FFmpeg;https://ffmpeg.org/
186;From DNA sequences to metabolic interactions: building a pipeline to extract key metabolic processes;Haris Zafeiropoulos;GeomScale;https://geomscale.github.io/
187;Implement IIIF read in Cineast;Tanmay Singal;vitrivr;https://vitrivr.org
188;Extract important information from scientific papers;Rishab Mallick;Genome Assembly and Annotation;http://www.ebi.ac.uk
189;Make it easy to install and verify the installation of cert-manager;Tim Ramlot;CNCF;http://cncf.io
190;Machine Learning Model for the Planetary Albedo;Sofia Strukova;Machine Learning for Science (ML4SCI) Umbrella Organization;http://ml4sci.org
191;Improve tooling, integrations, and testing infrastructure of Zulip;Ganesh Pawar;Zulip;https://zulip.com
192;BeagleWire Software;Omkar  Bhilare;BeagleBoard.org Foundation;https://beagleboard.org
193;GOING NATS;Matan;Ceph;https://ceph.io
194;Path finding algorithm using OpenCV;Rupal Sharma;Center for Research in Open Source Software, UC Santa Cruz;http://cross.ucsc.edu
195;Write Frontend Tests;Aishwary Saxena;Oppia Foundation;https://github.com/oppia/oppia
196;Destination: Sol World-Gen Modularization;Isaiah Blanks;The Terasology Foundation;https://terasology.org/
197;Improvements In WebUI for Nettacker;gupt4j1;OWASP Foundation;https://owasp.org
198;Deluge Mobile client;Mohammad Arshad;CCExtractor Development;https://ccextractor.org/
199;Block Based Circuit Design;Ninad Jangle;Free and Open Source Silicon Foundation;https://www.fossi-foundation.org
200;Arabic Sign Language Recognition;Ahmed Moorsy;MediaPipe;https://mediapipe.dev
201;NuttX Support for Rapid Control Applications Development with pysimCoder;Michal Lenc;The Apache Software Foundation;https://www.apache.org
202;Multiple SSH key holding on CloudStack;Bikram Biswas-1;The Apache Software Foundation;https://www.apache.org
203;Single-Cell pathway annotation pipeline;Joao Luiz;Open Genome Informatics;http://gmod.org/wiki/GSoC
204;Buildpacks Lifecycle Prepare Phase;Halil İbrahim Ceylan;CNCF;http://cncf.io
205;Remote Test System for AXIOM Remote;Vinayak Sankar;apertus° Association;https://www.apertus.org
206;FFmpeg x86-64 assembly FFT;luc65r;FFmpeg;https://ffmpeg.org/
207;Advancement through project merge;Tamara David;International Catrobat Association;https://www.catrobat.org
208;Geospatial Tools for Post-Disaster Housing Analysis;Paulette Vazquez;Mayor's Office of New Urban Mechanics (City of Boston);http://www.boston.gov/mechanics
209;Alexa Top Sites Captcha and Tor Block Monitoring;Apratim Ran Chak;Digital Impact Alliance (DIAL) at UN Foundation;https://www.digitalimpactalliance.org/
210;On Canvas Marker Editing;Rachana Podaralla;Inkscape;https://inkscape.org
211;Detecting Joint Meaning Construal by Language and Gesture;Nickil Maveli;Red Hen Lab;http://redhenlab.org
212;Implement Edge Coloring Algorithm for pgRouting by the Boost Graph Library;Veenit Kumar;OSGeo - Open Source Geospatial Foundation;https://www.osgeo.org/
213;Adding New Plots to ArviZ;Rishabh Sanjay;NumFOCUS;http://numfocus.org/
214;API Conversion API;Sarthak Saxena;Postman;https://www.postman.com/
215;Android SDK tools in Debian;Prateek Ganguli;Debian;https://www.debian.org
216;H264/HEVC ARM64 10-bit assembly;Mikhail Nitenko;FFmpeg;https://ffmpeg.org/
217;Enhance Accessibility of More ScummVM Engines by Text To Speech (TTS);Twan;ScummVM;https://www.scummvm.org/
218;Redesigning GridWorlds.jl;Siddharth Bhatia;The Julia Language;https://julialang.org
219;APISIX ingress controller integration with Knative Serving;Fang Hu;The Apache Software Foundation;https://www.apache.org
220;Monitoring setup for EvalAI;Aviral Jain;CloudCV;https://cloudcv.org
221;Apache CloudStack - Synchronization of network devices on newly added hosts for Persistent Networks;Sang Woo Bae;The Apache Software Foundation;https://www.apache.org
222;Improve site architecture and add features to the Orcamap;Dhananjay Purohit;Orcasound;http://orcasound.net
223;Capturing an abstracted model of Xilinx Artix7 using VTR;Arash Ahmadian;SymbiFlow;https://symbiflow.github.io/
224;Fairness extension for mlr3;Siyi Wei;The R Project for Statistical Computing;https://www.r-project.org/
225;Static code upload challenge evaluation and enhancements in GitHub based challenge creation;Savish Bedi;CloudCV;https://cloudcv.org
226;Rucio and CS3API to enable data management for the ScienceMesh cloud;Rahul Chauhan-1;CERN-HSF;http://hepsoftwarefoundation.org/activities/gsoc.html
227;Apertium Browser Plugin;Omkar Prabhune;Apertium;http://wiki.apertium.org
228;Revamp Netengine and add its SNMP capability to OpenWISP Monitoring;Purhan Kaushik;OpenWISP;http://openwisp.org
229;IMU Calibration & Self-Correction Algorithm for Open Source Autonomous Vehicle Controller;Rishikesh Vanarse;Center for Research in Open Source Software, UC Santa Cruz;http://cross.ucsc.edu
230;Integration of Alternate Code Analysis Tools;Avishrant Sharma;AboutCode;https://www.aboutcode.org
231;Update the front-page of Wikimedia projects;Bhaarat Kumar Khatri;Wikimedia Foundation;http://wikimediafoundation.org/
232;Implementation of NEON functions (SIMDe);Atharva Nimbalkar;Open Bioinformatics Foundation;http://open-bio.org
